,brands,product_name,main_category,energy_100g,fat_100g,proteins_100g,salt_100g,carbohydrates_100g,sugars_100g,sodium_100g,saturated-fat_100g
550,Rewe,"REWE Smoothie with apple, mango, passion fruit",en:beverages,243.0,0.2,0.6,0.01,11.8,11.2,0.00393700787401575,0.0
551,REWE Feine Welt,Cashew Crunch,en:plant-based-foods-and-beverages,2446.0,41.2,12.1,0.36,41.1,24.5,0.141732283464567,10.8
552,Rewe Bio,Rote Beete Aufstrich,en:spreads,1426.0,31.6,5.7,1.5,7.8,7.8,0.590551181102362,3.6
554,Rewe Bio,Pizza-Tomaten,en:plant-based-foods-and-beverages,97.0,0.3,1.2,0.3,3.0,3.0,0.118110236220472,0.1
560,"Otafuku,Otafuku Sauce Co.  Ltd.",Okonomi Sauce,en:groceries,209.0,0.0,0.0,1.6256,12.0,12.0,0.64,0.0
563,Coca cola,Cola Zero,en:beverages,0.9,0.0,0.0,0.02,0.0,0.0,0.0078740157480315,0.0
564,Nestea,Weißer Pfirsich Geschmack ,en:beverages,5.0,0.0,0.0,0.04,0.0,0.0,0.015748031496063,0.0
565,"Twix,Mars",Twix,en:sugary-snacks,2071.0,23.9,4.5,0.41,64.5,48.7,0.161417322834646,13.9
566,m&m's,m&m's crispy,en:sugary-snacks,2082.0,24.2,4.3,0.35,64.2,54.2,0.137795275590551,15.9
567,"Mars,Snickers",Snickers Caramel,en:sugary-snacks,1384.0,18.6,6.3,0.22,34.3,25.1,0.0866141732283465,10.2
568,"After Eight,Nestlé",After Eight,en:plant-based-foods-and-beverages,1803.0,12.9,2.3,0.04,74.1,64.4,0.015748031496063,7.4
575,Quorn,Quorn Geschnetzeltes,en:plant-based-foods-and-beverages,477.0,2.6,14.0,0.8,5.8,1.3,0.31496062992126,0.6
577,"Kellogg's, Kellog's",Knusper Müsli Classic,en:plant-based-foods-and-beverages,2016.0,22.0,8.0,0.8,60.0,19.0,0.31496062992126,11.0
578,Kellogg's,Knusper Müsli mit Schokolade und Haselnüssen,en:plant-based-foods-and-beverages,2076.0,25.0,8.0,0.63,57.0,21.0,0.248031496062992,12.0
579,MyProtein,Cashew Butter,en:plant-based-foods-and-beverages,2420.0,48.2,20.9,0.0381,16.7,4.4,0.015,9.5
580,MyProtein,Impact Whey Unflavourrd,en:dietary-supplements,1757.0,7.5,82.0,0.38,5.0,5.0,0.149606299212598,5.0
581,MyProtein,Omega 3,en:fats,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.23
582,MyProtein,Impact Whey Protein White Chocolate,en:dietary-supplements,1704.0,7.3,80.0,0.37,4.9,4.9,0.145669291338583,4.9
583,MyProtein,Impact Whey Protein Raspberry Stevia Flavour,en:dietary-supplements,1704.0,7.3,80.0,0.370000000000001,4.9,4.9,0.145669291338583,4.9
585,Tyrrells,Sea Salt & Cider Vinegar,en:salty-snacks,1987.0,26.7,6.1,1.5,49.7,1.7,0.590551181102362,2.9
586,TREK,Peanut Power,en:sugary-snacks,1548.0,10.9,18.5,0.8,46.7,38.4,0.31496062992126,1.8
588,Optimum Nutrition,100% Whey Gold Standard Double Rich Chocolate Flavour,en:dietary-supplements,1558.0,3.8,78.5,0.61976,5.8,3.9,0.244,2.3
589,Hasslacher's,Hot Drinking Chocolate,en:breakfasts,2170.0,52.4,10.2,0.01,20.2,0.0,0.00393700787401575,32.5
593,"Lipton,Unliever",ice tea,en:beverages,146.0,0.5,0.5,0.12,8.1,8.0,0.047244094488189,0.5
595,Lotus,Pâte à tartiner au spéculos,en:spreads,2435.0,38.1,2.9,0.5334,57.0,36.8,0.21,7.6
599,alpro,Soya Vanilla,en:beverages,232.0,1.7,3.0,0.139954,6.6,6.6,0.0551,0.3
600,alpro,Soya Dessert Dunkle Schokolade Feinherb,en:sugary-snacks,396.0,2.3,3.0,0.14,14.7,11.8,0.0551181102362205,0.8
601,alpro,Soy milk light,en:beverages,123.0,1.2,2.1,0.0,2.0,2.0,0.0,0.2
602,alpro,Erdbeere mit Rhabarber Soya Joghurt,en:dairies,313.0,1.9,3.6,0.25,9.4,9.4,0.0984251968503937,0.3
603,alpro,Soya light,en:beverages,114.0,1.2,2.1,0.11,1.6,1.4,0.0433070866141732,0.2
604,alpro,Soya Vanille,en:beverages,229.0,1.7,3.0,0.14,6.5,6.4,0.0551181102362205,0.3
605,Alpro,Riz Original,en:beverages,197.0,1.0,0.1,0.9,9.5,3.3,0.354330708661417,0.1
606,Alpro,"Alpro Framboise-Cranberry, Mûre",en:dairies,314.0,1.9,3.6,0.22,9.7,9.4,0.0866141732283465,0.3
607,alpro,Kokosnuss Choco Geschmack,en:beverages,171.0,1.1,0.4,0.12,7.0,5.3,0.047244094488189,1.0
608,alpro,Soya Cuisine,en:beverages,698.0,16.8,2.0,0.14,1.6,1.6,0.0551181102362205,1.9
610,Lima,Corn maïs 100%,en:groceries,1626.0,3.4,7.9,0.33,77.8,0.2,0.12992125984252,0.7
