"calc_ident_id","rr_min","rr_max","rr_mean","rr_max_min_rel","sdnn","sd1","sd2","rmssd","pnn50","power_hf","power_lf","power_lf_hf","power_total","power_vlf"
"3749",37837,997,1648,1304.37,1.65,126.69,74.1,163.12,104.8,68.19,2856.95,1778.25,0.62,4752.11,119.82
"3750",37839,982,1850,1395.11,1.88,200.05,101.51,264.08,143.55,71.46,4413.6,7071.29,1.6,12031.96,354.47
"3751",37844,1117,2192,1429.41,1.96,167.84,108.23,211.25,153.06,80.15,5743.79,6601.76,1.15,14388.51,1586.99
"3752",37845,953,1774,1252.3,1.86,130.29,81.57,165.22,115.35,68.66,3042.89,2377.42,0.78,5770.68,270.65
"3753",37853,1008,1790,1373.21,1.77,147.55,96.76,184.88,136.84,73.25,4459.73,3314.84,0.74,8426.65,620.91
"3754",37855,940,1783,1348.18,1.9,154.15,93.52,196.92,132.26,75.1,5527.8,1417.02,0.26,7153.09,159.78
"3755",37856,1049,1733,1321.7,1.65,126.58,79.91,160.19,113.01,70.7,3041.45,1972.52,0.65,5440.99,381.06
"3756",37858,995,1712,1336.06,1.72,143.87,90.67,182.14,128.23,75.57,4946.71,2039.69,0.41,7401.22,280.4
"3757",37859,1064,1662,1412.22,1.56,99.53,83.15,113.57,117.6,70.99,3120.17,2122.14,0.68,5541.54,273.26
"3758",37860,1029,1792,1401.95,1.74,132.92,89.24,165.44,126.21,73.84,4213,2268.77,0.54,6536,122.99
"3759",37863,1091,1683,1351.67,1.54,125.84,78.29,159.82,110.72,67.92,2397.63,2769.58,1.16,5463.88,243.31
"3760",37865,1046,1730,1393.02,1.65,126.13,82.91,157.93,117.26,73.3,2916.38,2937.29,1.01,6374.01,327.2
"3763",37866,1074,1827,1439.61,1.7,162.73,104.18,205.21,147.33,76.53,4989.99,5513.35,1.1,10887.04,262.7
"3764",37867,948,1689,1303.74,1.78,131.91,78.45,169.25,110.94,67.54,3467.82,1190.55,0.34,4715,57.18
"3765",37868,1036,1683,1276.53,1.62,140.61,75.69,183.88,107.04,68.35,3029.07,1814.77,0.6,4943.92,87.33
"3770",37869,915,1536,1202.9,1.68,111.1,57.42,146.25,81.2,52.96,1681.38,1781.54,1.06,3832.34,305.2
"3780",37874,1065,1758,1379.98,1.65,139.07,94.05,172.73,133,76.65,4395.4,1232.29,0.28,5750.39,58.85
"3781",37877,929,1779,1304.41,1.91,178.19,89.37,235.62,126.39,69.63,3560.65,2850.29,0.8,7010.77,460.12
"3782",37879,976,1709,1259.18,1.75,125.55,72.4,162.12,102.39,65.39,2894.35,1773.23,0.61,4896.68,140.16
"3783",37884,1104,1715,1379.47,1.55,130.81,86.77,163.38,122.71,73.28,3623.79,2208.51,0.61,5883.52,61.44
"3784",37886,951,1563,1245.4,1.64,122.64,60.26,162.64,85.22,50.78,1519.97,2517.53,1.66,4161.58,148.82
"3785",37889,1044,1877,1448.63,1.8,172.04,127.93,206.95,180.92,82.64,7468.95,4572.24,0.61,12869.39,750.76
"3786",37891,1093,1777,1334.99,1.63,139.18,65.74,185.53,92.97,55.83,2326.22,2041.52,0.88,4588.38,164.73
"3787",37893,1125,1754,1395.2,1.56,131.38,89.46,162.85,126.51,71.73,4202.92,1642.19,0.39,5983.87,87.68
"3788",37894,991,1742,1308.57,1.76,139.3,82.63,178.83,116.85,70.7,3927.81,2093.66,0.53,6345.7,303.44
"3789",37897,955,1856,1361.44,1.94,164.14,92.87,212.74,131.34,76.37,4719.11,2057.92,0.44,7021.3,240.73
"3790",37898,1120,1755,1400.53,1.57,129.8,88.33,160.92,124.91,71.79,3147.68,2639.06,0.84,5938.17,108.88
"3791",37899,1022,1560,1299.63,1.53,87.51,59.43,108.56,84.04,55.83,1484.21,1345.62,0.91,3034.05,175.27
"3792",37900,880,1503,1171.62,1.71,107.49,61.15,139.17,86.48,61.1,2620.4,1607.9,0.61,4659.79,299.85
"3793",37903,860,1522,1198.23,1.77,112.29,55.16,148.91,78.01,57.92,1750.83,1959.49,1.12,4027.09,271.61
"3794",37904,1104,1849,1456.13,1.67,127.51,86.08,158.46,121.73,64.42,2023.26,4825.86,2.39,7071.67,187.75
"3795",37905,1010,1787,1398.85,1.77,128.98,74.96,166.29,106.01,66.06,1871.92,2126.22,1.14,4097.32,129.73
"3796",37906,933,1522,1222.73,1.63,128.62,68.01,168.71,96.17,57.83,3278.23,3577.33,1.09,6973.33,42.67
"3797",37909,920,1754,1226.47,1.91,142.92,79.73,185.73,112.75,65.51,3357.76,2953.73,0.88,6501.53,175.83
"3798",37913,1047,1797,1368.76,1.72,172.8,98.58,223.61,139.41,71.65,5844.32,4367.8,0.75,10232.92,97.17
"3799",37914,926,1734,1303.04,1.87,146.98,77.11,193.03,109.05,63.95,3049.56,2088.24,0.68,5810.79,556.12
"3800",37916,1018,1688,1296.67,1.66,114.98,78.22,142.56,110.62,70.28,2862.03,1988.99,0.69,5562.85,683.44
"3801",37918,970,1876,1420.11,1.93,171.81,98.26,222.22,138.96,74.36,4224.22,3690.56,0.87,8729.92,595.86
"3806",46529,959,1766,1307.17,1.84,162.36,99.93,206.72,141.33,75.27,5868.7,3312.17,0.56,9575.14,333.55
"3808",48240,934,1837,1348.64,1.97,162.87,128.45,191.19,181.66,82.31,9382.61,3730.75,0.4,13878.31,702.82
"3844",43812,908,1735,1238.51,1.91,150.53,80.98,196.88,114.53,64.8,2629.91,1466.04,0.56,4814.73,582.09
"3845",43814,866,1384,1076.4,1.6,98.51,41.68,132.93,58.95,34.8,791.4,802.18,1.01,1605.37,21.56
"3851",43928,842,1700,1199.44,2.02,172.26,81.49,229.58,115.24,61.81,3844.66,3230.02,0.84,7341.37,261.57
"3855",43987,917,1427,1134.03,1.56,103.53,52.4,136.72,74.1,45.83,1939.3,2042.74,1.05,4091.92,85.56
"3863",37921,1000,1813,1359.56,1.81,167.97,83.39,222.43,117.93,69.82,3718.55,3975.88,1.07,8031.72,217.01
"3864",37922,940,1760,1252.1,1.87,146.12,82.81,189.33,117.11,66.92,3637.34,1810.37,0.5,5690.73,128.92
