SNo,Name,Ew.,Ew.,Ew.,Ew.,Ew.,Ew.,Ew.,Ew.,Ew.,Fläche,Ew.,Diff.,Groß-,Bundes-
,,1939,1950,1960,1970,1980,1990,2000,2010,2012,[km²],/km²,[%],stadt,land
,,,,,,,,,,,,,(2011,erst-,
,,,,,,,,,,,,,–2012),mals,
42,Saarbrücken,131.285,111.45,129.801,128.251,193.554,191.694,183.257,175.741,176.996,"167,09",1.059,"0,28",1909, Saarland
43,Hamm,56.684,59.866,68.775,84.629,171.869,179.639,182.427,181.783,176.44,"226,43",779,"?0,02",1975, Nordrhein-Westfalen
44,Mülheim an der Ruhr,136.828,149.589,183.979,192.183,181.279,177.681,172.862,167.344,166.654,"91,28",1.826,"?0,09",1908, Nordrhein-Westfalen
45,Ludwigshafen am Rhein,143.934,123.869,164.657,176.257,159.399,162.233,163.383,164.177,160.179,"77,55",2.065,"0,97",1921, Rheinland-Pfalz
46,Leverkusen,49.927,65.531,93.94,107.626,160.825,160.919,161.047,160.772,159.926,"78,87",2.028,"0,35",1963, Nordrhein-Westfalen
47,Potsdam,126.241,118.18,115.004,111.336,130.9,139.794,129.324,156.906,159.456,"187,52",850,"1,18",1939, Brandenburg
48,Oldenburg,74.141,122.809,122.337,131.545,136.764,143.131,154.832,162.173,158.658,"102,98",1.541,"0,60",1946, Niedersachsen
49,Osnabrück,97.918,109.538,135.821,144.864,157.367,163.168,164.101,164.119,155.625,"119,80",1.299,"0,72",1939, Niedersachsen
50,Solingen,140.453,147.845,170.619,177.124,166.085,165.401,164.973,159.927,155.316,"89,55",1.734,"0,15",1929, Nordrhein-Westfalen
51,Herne,94.639,111.591,113.252,103.849,182.542,178.132,174.529,164.762,154.563,"51,42",3.006,"?0,21",1933, Nordrhein-Westfalen
52,Neuss,59.649,63.478,93.68,116.013,149.334,147.019,150.013,151.388,151.486,"99,53",1.522,"0,28",1963, Nordrhein-Westfalen
53,Heidelberg,84.273,116.488,127.595,121.398,133.227,136.796,140.259,147.312,150.335,"108,83",1.381,"1,29",1946, Baden-Württemberg
54,Darmstadt,110.552,94.788,138.736,141.847,138.201,138.92,138.242,144.402,147.925,"122,09",1.212,"1,43",1937, Hessen
55,Paderborn,39.955,40.27,52.773,68.207,110.155,120.68,139.084,146.283,143.575,"179,60",799,"0,28",1975, Nordrhein-Westfalen
56,Regensburg,90.651,117.291,123.751,130.888,132.604,121.691,125.676,135.52,138.296,"80,70",1.714,"1,43",1940, Bayern
57,Ingolstadt,31.37,40.523,52.54,70.594,90.49,105.489,115.722,125.088,127.886,"133,37",959,"1,44",1989, Bayern
58,Würzburg,101.345,78.443,115.541,116.395,128.652,127.777,127.966,133.799,124.577,"87,63",1.422,"0,10",1932, Bayern
59,Wolfsburg,6.797,25.422,62.577,90.115,125.935,128.51,121.805,121.451,121.758,"204,05",597,"0,72",1972, Niedersachsen
60,Fürth,78.838,99.89,98.615,94.415,99.088,103.362,110.477,114.628,118.358,"63,35",1.868,"1,47",1950, Bayern
61,Ulm,68.585,71.132,90.383,93.158,100.671,110.529,117.233,122.801,117.977,"118,69",994,"0,37",1980, Baden-Württemberg
62,Heilbronn,74.214,64.643,87.203,102.3,111.938,115.843,119.305,122.879,117.531,"99,88",1.177,"0,70",1970, Baden-Württemberg
63,Offenbach am Main,85.128,89.03,115.051,118.841,110.993,114.992,117.535,120.435,116.945,"44,89",2.605,"1,82",1954, Hessen
64,Göttingen,49.668,78.68,77.785,109.892,129.656,121.831,124.132,121.06,116.65,"116,89",998,"0,52",1964, Niedersachsen
65,Bottrop,83.381,93.268,111.246,106.225,114.571,118.936,120.611,116.771,116.498,"100,61",1.158,"?0,49",1953, Nordrhein-Westfalen
66,Pforzheim,78.32,54.143,81.373,91.104,106.5,112.944,117.156,119.781,116.425,"98,00",1.188,"1,05",1975, Baden-Württemberg
67,Recklinghausen,86.302,104.791,130.405,125.369,119.418,125.06,124.785,118.365,115.385,"66,43",1.737,"?0,23",1949, Nordrhein-Westfalen
68,Reutlingen,37.421,45.735,66.659,79.705,95.456,103.687,110.65,112.484,110.681,"87,06",1.271,"0,54",1988, Baden-Württemberg
69,Koblenz,86.501,66.444,97.867,120.079,113.676,108.733,107.95,106.417,109.779,"105,08",1.045,"1,69",1962, Rheinland-Pfalz
70,Remscheid,103.912,103.276,125.912,136.822,129.082,123.155,119.287,110.563,109.352,"74,52",1.467,"?0,71",1929, Nordrhein-Westfalen
71,Bergisch Gladbach,23.286,32.681,41.409,50.228,101.472,104.037,105.693,105.723,109.138,"83,09",1.313,"0,10",1977, Nordrhein-Westfalen
72,"Bremerhaven,",110.982,114.07,141.017,142.919,138.728,130.446,120.822,113.366,108.323,"93,82",1.155,"0,17",1939, Bremen
73,Jena,68.377,80.309,81.19,88.13,103.718,102.518,99.893,105.129,106.915,"114,48",934,"0,46",1975, Thüringen
74,Trier,81.808,75.526,85.21,103.598,95.536,97.835,99.41,105.26,106.544,"117,13",910,"0,24",1969, Rheinland-Pfalz
75,Erlangen,33.471,50.011,68.569,85.061,101.845,102.44,100.778,105.629,105.412,"76,95",1.37,"1,05",1974, Bayern
76,Moers,29.646,34.832,45.908,53.41,99.923,104.595,107.062,105.506,103.504,"67,68",1.529,"?0,31",1975, Nordrhein-Westfalen
,,,,,,,,,,,,,,,
Für andere Formate besuchen : www.downloadexcelfiles.com,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ursprüngliche Quelle,,,,,,,,,,,,,,,
