,Geldgeber,Kategorie,Betrag,Empfänger,Jahr,Ort,Bundesland,Branche,Schlagworte
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg-CDU-2015","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.",Kategorie:Parteispende,"150500,00 €",CDU,2015,Stuttgart,,,
"Parteispende:VCI Verband der chemischen Industrie-SPD-2015","Verband der Chemischen Industrie",Kategorie:Parteispende,"35000,00 €",SPD,2015,"Frankfurt a.M.",,,
"Parteispende:Verband der Chemischen Industrie VCI-CDU-2015","Verband der Chemischen Industrie",Kategorie:Parteispende,"40000,00 €",CDU,2015,"Frankfurt am Main",,,
"Parteispende:Verband der Chemischen Industrie-CSU-2015","Verband der Chemischen Industrie",Kategorie:Parteispende,"61000,00 €",CSU,2015,"Frankfurt a.M.",,,
"Parteispende:Verband der Chemischen Industrie VCI-FDP-2015","Verband der Chemischen Industrie",Kategorie:Parteispende,"40000,00 €",FDP,2015,"Frankfurt a.M.",,,
"Parteispende:Concept Real Holding GmbH-CSU-2013","Concept-Real Holding GmbH",Kategorie:Parteispende,"11500,00 €",CSU,2013,München,,,
"Parteispende:BMW AG-Grüne-2010","BMW Bayerische Motoren Werke AG",Kategorie:Parteispende,"43680,62 €","Bündnis 90/Die Grünen",2010,München,,,
Parteispende:BMW-Grüne-2011,"BMW Bayerische Motoren Werke AG",Kategorie:Parteispende,"42654,85 €","Bündnis 90/Die Grünen",2011,München,,,
"Parteispende:Arbeitgeber Metall- und Elektroindustrie Lüdenscheid-CDU-2015","Arbeitgeberverband der Metall- und Elektroindustrie Lüdenscheid e.V.",Kategorie:Parteispende,"22000,00 €",CDU,2015,Lüdenscheid,,,
"Parteispende:Arbeitgeberverband der Metall- u. Elektroindustrie Lüdenscheid e. V.-CDU-2012","Arbeitgeberverband der Metall- und Elektroindustrie Lüdenscheid e.V.",Kategorie:Parteispende,"25000,00 €",CDU,2012,Lüdenscheid,,,
"Parteispende:Volkswagen AG-FDP-2002","Volkswagen AG",Kategorie:Parteispende,"10400,00 €",FDP,2002,Wolfsburg,,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-CDU-2005","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.",Kategorie:Parteispende,"230000,00 €",CDU,2005,Stuttgart,,,
"Parteispende:Vfw AG-CDU-2006","Vfw AG",Kategorie:Parteispende,"20000,00 €",CDU,2006,Köln,,,
"Parteispende:WOGEBAU Rüth GmbH-CSU-2002","WOGEBAU Rüth GmbH",Kategorie:Parteispende,"12000,00 €",CSU,2002,"Bad Kissingen",,,
"Parteispende:Verlagsgruppe Lübbe GmbH & Co. KG-CDU-2009","Verlagsgruppe Lübbe GmbH & Co. KG",Kategorie:Parteispende,"10500,00 €",CDU,2009,"Bergisch Gladbach",,,
"Parteispende:Wittfeld Baugesellschaft mbH & Co. KG-CDU-2002","Wittfeld Baugesellschaft mbH & Co. KG",Kategorie:Parteispende,"11324,65 €",CDU,2002,Wallenhorst,,,
"Parteispende:Witron Logistik Informatik GmbH-CSU-2002","Witron Logistik Informatik GmbH",Kategorie:Parteispende,"19150,00 €",CSU,2002,Parkstein,,,
"Parteispende:Wolfgang Steinbrück Omnibusbetrieb und Reisebüro-CDU-2000","Wolfgang Steinbrück Omnibusbetrieb und Reisebüro",Kategorie:Parteispende,"16039,38 €",CDU,2000,Gotha,,,
"Parteispende:Verband der Bayerischen Chemischen Industrie e.V.-CSU-2001","Verband der Bayerischen Chemischen Industrie e.V.",Kategorie:Parteispende,"51129,00 €",CSU,2001,München,,,
"Parteispende:ZEPPELIN GmbH-CDU-2009","ZEPPELIN GmbH",Kategorie:Parteispende,"17000,00 €",CDU,2009,"Garching bei München",,,
"Parteispende:Verband der Chemischen Industrie e.V.-CDU-2006","Verband der Chemischen Industrie",Kategorie:Parteispende,"130000,00 €",CDU,2006,"Frankfurt am Main",,,
"Parteispende:Südzucker AG-CSU-2005","Südzucker AG",Kategorie:Parteispende,"71300,00 €",CSU,2005,Mannheim,,,
"Parteispende:WSG - Wach & Sicherheits GmbH-CDU-2006","WSG - Wach & Sicherheits GmbH",Kategorie:Parteispende,"10458,00 €",CDU,2006,Hoyerswerda,,,
"Parteispende:Wall AG-CDU-2005","Wall AG",Kategorie:Parteispende,"43000,00 €",CDU,2005,Berlin,,,
"Parteispende:Südzucker AG-CDU-2009","Südzucker AG",Kategorie:Parteispende,"43500,00 €",CDU,2009,Mannheim,,,
"Parteispende:ZEPPELIN GmbH-CDU-2008","ZEPPELIN GmbH",Kategorie:Parteispende,"24950,00 €",CDU,2008,"Garching bei München",,,
"Parteispende:Trumpf GmbH + Co. KG-CDU-2016","Trumpf GmbH + Co. KG",Kategorie:Parteispende,"75000,00 €",CDU,2016,Ditzingen,,,
"Parteispende:Trumpf Werkzeugmaschinen GmbH & Co. KG-CDU-2005","Trumpf Werkzeugmaschinen GmbH & Co. KG",Kategorie:Parteispende,"40000,00 €",CDU,2005,Ditzingen,,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-GRÜNE-2006",Gesamtmetall,Kategorie:Parteispende,"25000,00 €","Bündnis 90/Die Grünen",2006,Stuttgart,,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-GRÜNE-2008","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.",Kategorie:Parteispende,"12500,00 €","Bündnis 90/Die Grünen",2008,Stuttgart,,,
"Parteispende:Verband der Chemischen Industrie e.V.-FDP-2001","Verband der Chemischen Industrie",Kategorie:Parteispende,"31361,25 €",FDP,2001,"Frankfurt am Main",,,
"Parteispende:Wall AG-CDU-2000","Wall AG",Kategorie:Parteispende,"17588,38 €",CDU,2000,Berlin,,,
"Parteispende:Wall AG-SPD-2001","Wall AG",Kategorie:Parteispende,"67360,90 €",SPD,2001,Berlin,,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-GRÜNE-2001","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.",Kategorie:Parteispende,"25564,50 €","Bündnis 90/Die Grünen",2001,Stuttgart,,,
"Parteispende:Verband der Bayerischen Chemischen Industrie e.V.-CSU-2008","Verband der Bayerischen Chemischen Industrie e.V.",Kategorie:Parteispende,"105000,00 €",CSU,2008,München,,,
"Parteispende:Volkswagen AG-CDU-2005","Volkswagen AG",Kategorie:Parteispende,"10400,00 €",CDU,2005,Wolfsburg,,,
"Parteispende:Victor's Bau Wert AG-FDP-2007","Victor's Bau Wert AG",Kategorie:Parteispende,"16000,00 €",FDP,2007,Saarbrücken,,,
"Parteispende:SolarWorld AG-FDP-2005","SolarWorld AG",Kategorie:Parteispende,"35000,00 €",FDP,2005,Bonn,,,
"Parteispende:YOC AG-CDU-2009","YOC AG",Kategorie:Parteispende,"284000,00 €",CDU,2009,Berlin,,,
"Parteispende:WPD Wind Projekt Development GmbH-GRÜNE-2002","WPD Wind Projekt Development GmbH",Kategorie:Parteispende,"25000,00 €","Bündnis 90/Die Grünen",2002,Bremen,,,
"Parteispende:Verband der Chemischen Industrie e.V.-SPD-2008","Verband der Chemischen Industrie",Kategorie:Parteispende,"35000,00 €",SPD,2008,"Frankfurt am Main",,,
"Parteispende:Wüstenrot & Württembergische AG-CDU-2002","Wüstenrot & Württembergische AG",Kategorie:Parteispende,"16000,00 €",CDU,2002,Ludwigsburg,,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-SPD-2007","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.",Kategorie:Parteispende,"50000,00 €",SPD,2007,Stuttgart,,,
"Parteispende:Zentis, Franz GmbH & Co. KG-CSU-2004","Zentis, Franz GmbH & Co. KG",Kategorie:Parteispende,"20000,00 €",CSU,2004,Aachen,,,
Parteispende:TUPAG-Holding-AG-CDU-2009,TUPAG-Holding-AG,Kategorie:Parteispende,"10500,00 €",CDU,2009,Mühlhausen,,,
"Parteispende:Unternehmensgruppe Theo Müller-CDU-2005","Unternehmensgruppe Theo Müller",Kategorie:Parteispende,"22000,00 €",CDU,2005,Fischach,,,
"Parteispende:Weisser Studios TV- und Filmproduktion-CSU-2008","Weisser Studios TV- und Filmproduktion",Kategorie:Parteispende,"15232,00 €",CSU,2008,Stephanskirchen,,,
"Parteispende:Südzucker AG-FDP-2009","Südzucker AG",Kategorie:Parteispende,"38000,00 €",FDP,2009,Mannheim,,,
"Parteispende:Substantia AG-FDP-2009","Substantia AG",Kategorie:Parteispende,"850000,00 €",FDP,2009,Düsseldorf,,,
"Parteispende:Wüstenrot & Württembergische AG-FDP-2005","Wüstenrot & Württembergische AG",Kategorie:Parteispende,"15000,00 €",FDP,2005,Stuttgart,,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-GRÜNE-2007","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.",Kategorie:Parteispende,"25000,00 €","Bündnis 90/Die Grünen",2007,Stuttgart,,,
"Parteispende:Zellstoff Stendal GmbH-SPD-2008","Zellstoff Stendal GmbH",Kategorie:Parteispende,"20000,00 €",SPD,2008,Arneburg,,,
"Parteispende:Zeppelin Baumaschinen GmbH-CDU-2006","Zeppelin Baumaschinen GmbH",Kategorie:Parteispende,"13500,00 €",CDU,2006,"Garching bei München",,,
"Parteispende:Trombello Kölbel Immobilienconsulting GmbH-CDU-2008","Trombello Kölbel Immobilienconsulting GmbH",Kategorie:Parteispende,"20000,00 €",CDU,2008,Düsseldorf,,,
"Parteispende:Wall AG-CDU-2006","Wall AG",Kategorie:Parteispende,"19500,00 €",CDU,2006,Berlin,,,
"Parteispende:Volkswagen AG-SPD-2002","Volkswagen AG",Kategorie:Parteispende,"10400,00 €",SPD,2002,Wolfsburg,,,
"Parteispende:Tchibo Holding AG-SPD-2002","Tchibo Holding AG",Kategorie:Parteispende,"200000,00 €",SPD,2002,Hamburg,,,
"Parteispende:Wilcom Gesellschaft für Werbung und Kommunikation GmbH & Co. KG-CDU-2009","Wilcom Gesellschaft für Werbung und Kommunikation GmbH & Co. KG",Kategorie:Parteispende,"28400,00 €",CDU,2009,Schönefeld,,,
"Parteispende:Werbe- und Verpackungsdienst GmbH-CDU-2004","Werbe- und Verpackungsdienst GmbH",Kategorie:Parteispende,"20479,50 €",CDU,2004,Sinsheim,,,
"Parteispende:Staake Investment und Consulting GmbH-CDU-2008","Staake Investment und Consulting GmbH",Kategorie:Parteispende,"15000,00 €",CDU,2008,Braunschweig,,,
"Parteispende:Voith AG-CDU-2003","Voith AG",Kategorie:Parteispende,"15000,00 €",CDU,2003,"Heidenheim an der Brenz",,,
"Parteispende:Rheinmetall AG-FDP-2002","Rheinmetall AG",Kategorie:Parteispende,"14000,00 €",FDP,2002,Ratingen,,,
"Parteispende:Verband der Chemischen Industrie e.V.-SPD-2007","Verband der Chemischen Industrie",Kategorie:Parteispende,"40000,00 €",SPD,2007,"Frankfurt am Main",,,
"Parteispende:Volkswagen AG-SPD-2008","Volkswagen AG",Kategorie:Parteispende,"31049,02 €",SPD,2008,Wolfsburg,,,
"Parteispende:Villeroy & Boch AG-CDU-2002","Villeroy & Boch AG",Kategorie:Parteispende,"10750,00 €",CDU,2002,Mettlach,,,
"Parteispende:Verband der Sächsischen Metall- und Elektroindustrie e.V.-FDP-2004","Verband der Sächsischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"20000,00 €",FDP,2004,Dresden,,,
"Parteispende:Wüstenrot & Württembergische AG-CDU-2001","Wüstenrot & Württembergische AG",Kategorie:Parteispende,"11248,38 €",CDU,2001,Ludwigsburg,,,
"Parteispende:Verband Druck und Medien Bayern e.V.-CSU-2005","Verband Druck und Medien Bayern e.V.",Kategorie:Parteispende,"13000,00 €",CSU,2005,München,,,
"Parteispende:Verband der Deutschen Automatenindustrie e.V.-CDU-2009","Verband der Deutschen Automatenindustrie e.V.",Kategorie:Parteispende,"28000,00 €",CDU,2009,Berlin,,,
"Parteispende:Schön Klinik Verwaltung GmbH-CSU-2007","Schön Klinik Verwaltung GmbH",Kategorie:Parteispende,"17000,00 €",CSU,2007,"Prien am Chiemsee",,,
"Parteispende:Verband der Privaten Krankenversicherungen e.V.-FDP-2001","Verband der Privaten Krankenversicherungen e.V.",Kategorie:Parteispende,"17792,89 €",FDP,2001,Köln,,,
Parteispende:VoithAG-CDU-2005,VoithAG,Kategorie:Parteispende,"15000,00 €",CDU,2005,"Heidenheim an der Brenz",,,
"Parteispende:YOC AG-CDU-2005","YOC AG",Kategorie:Parteispende,"136010,00 €",CDU,2005,Berlin,,,
"Parteispende:Wollschläger GmbH & Co. KG-SPD-2009","Wollschläger GmbH & Co. KG",Kategorie:Parteispende,"25000,00 €",SPD,2009,Bochum,,,
"Parteispende:Zapf GmbH-CSU-2006","Zapf GmbH",Kategorie:Parteispende,"12500,00 €",CSU,2006,Bayreuth,,,
"Parteispende:Verband der Bayerischen Chemischen Industrie e.V.-CSU-2000","Verband der Bayerischen Chemischen Industrie e.V.",Kategorie:Parteispende,"143161,20 €",CSU,2000,München,,,
"Parteispende:Wüstenrot & Württembergische AG-CDU-2003","Wüstenrot & Württembergische AG",Kategorie:Parteispende,"10500,00 €",CDU,2003,Stuttgart,,,
"Parteispende:Wilhelm Wehrhahn KG-CDU-2005","Wilhelm Wehrhahn KG",Kategorie:Parteispende,"30000,00 €",CDU,2005,Neuss,,,
"Parteispende:Wilhelm Wehrhahn KG-CDU-2009","Wilhelm Wehrhahn KG",Kategorie:Parteispende,"25000,00 €",CDU,2009,Neuss,,,
"Parteispende:Zentralverwaltung Alexander Moksel KG-CSU-2005","Zentralverwaltung Alexander Moksel KG",Kategorie:Parteispende,"30000,00 €",CSU,2005,Buchloe,,,
"Parteispende:Tchibo Holding AG-CSU-2002","Tchibo Holding AG",Kategorie:Parteispende,"50000,00 €",CSU,2002,Hamburg,,,
"Parteispende:Victor's Bau Wert AG-GRÜNE-2009","Victor's Bau Wert AG",Kategorie:Parteispende,"47500,00 €","Bündnis 90/Die Grünen",2009,Saarbrücken,,,
"Parteispende:WPD Wind Projekt Development GmbH-GRÜNE-2005","WPD Wind Projekt Development GmbH",Kategorie:Parteispende,"13400,00 €","Bündnis 90/Die Grünen",2005,Bremen,,,
"Parteispende:Wüstenrot & Württembergische AG-CDU-2004","Wüstenrot & Württembergische AG",Kategorie:Parteispende,"11750,00 €",CDU,2004,Stuttgart,,,
"Parteispende:Verband der Privaten Krankenversicherungen e.V.-FDP-2005","Verband der Privaten Krankenversicherungen e.V.",Kategorie:Parteispende,"10050,00 €",FDP,2005,Köln,,,
"Parteispende:Wacker-Chemie GmbH-CSU-2005","Wacker-Chemie GmbH",Kategorie:Parteispende,"12500,00 €",CSU,2005,München,,,
"Parteispende:Südzucker AG-CSU-2007","Südzucker AG",Kategorie:Parteispende,"20000,00 €",CSU,2007,Mannheim,,,
"Parteispende:SolarWorld AG-SPD-2007","SolarWorld AG",Kategorie:Parteispende,"25000,00 €",SPD,2007,Bonn,,,
"Parteispende:Willy Dohmen GmbH & Co. KG-CDU-2009","Willy Dohmen GmbH & Co. KG",Kategorie:Parteispende,"17000,00 €",CDU,2009,Übach-Palenberg,,,
"Parteispende:Verband der Chemischen Industrie e.V.-CSU-2002","Verband der Chemischen Industrie",Kategorie:Parteispende,"85000,00 €",CSU,2002,"Frankfurt am Main",,,
"Parteispende:W.Voit GmbH & Co. KG-CDU-2005","W.Voit GmbH & Co. KG",Kategorie:Parteispende,"12750,00 €",CDU,2005,"Sankt Ingbert",,,
"Parteispende:Trumpf Werkzeugmaschinen GmbH & Co. KG-FDP-2009","Trumpf Werkzeugmaschinen GmbH & Co. KG",Kategorie:Parteispende,"50000,00 €",FDP,2009,Ditzingen,,,
"Parteispende:Verband der Chemischen Industrie e.V.-CSU-2001","Verband der Chemischen Industrie",Kategorie:Parteispende,"20451,60 €",CSU,2001,"Frankfurt am Main",,,
"Parteispende:Wüstenrot & Württembergische AG-CDU-2005","Wüstenrot & Württembergische AG",Kategorie:Parteispende,"10500,00 €",CDU,2005,Stuttgart,,,
"Parteispende:Wall AG-FDP-2001","Wall AG",Kategorie:Parteispende,"12782,25 €",FDP,2001,Berlin,,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-CDU-2009","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.",Kategorie:Parteispende,"100000,00 €",CDU,2009,Stuttgart,,,
"Parteispende:Volkswagen AG-FDP-2008","Volkswagen AG",Kategorie:Parteispende,"13982,58 €",FDP,2008,Wolfsburg,,,
"Parteispende:Weidemann-Gruppe GmbH-CDU-2007","Weidemann-Gruppe GmbH",Kategorie:Parteispende,"12000,00 €",CDU,2007,Magdeburg,,,
"Parteispende:VuW Versicherungs- und Wirtschaftsdienst GmbH-CSU-2000","VuW Versicherungs- und Wirtschaftsdienst GmbH",Kategorie:Parteispende,"166557,83 €",CSU,2000,München,,,
"Parteispende:Times Media GmbH-SPD-2009","Times Media GmbH",Kategorie:Parteispende,"15000,00 €",SPD,2009,"Berlin Kreuzberg",,,
"Parteispende:Rheinmetall AG-SPD-2009","Rheinmetall AG",Kategorie:Parteispende,"51500,00 €",SPD,2009,Düsseldorf,,,
"Parteispende:Tengelmann Warenhandelsgesellschaft KG-CDU-2005","Tengelmann Warenhandelsgesellschaft KG",Kategorie:Parteispende,"22500,00 €",CDU,2005,"Mülheim an der Ruhr",,,
"Parteispende:Südzucker AG-CDU-2001","Südzucker AG",Kategorie:Parteispende,"20451,60 €",CDU,2001,Mannheim,,,
"Parteispende:WBP Wirtschafts- und Gesellschaftskommunikation, Bürger und Partner KG-CDU-2004","WBP Wirtschafts- und Gesellschaftskommunikation, Bürger und Partner KG",Kategorie:Parteispende,"27840,00 €",CDU,2004,Neukirchen-Vluyn,,,
"Parteispende:VSTR GmbH Rodewisch-CDU-2009","VSTR GmbH Rodewisch",Kategorie:Parteispende,"10300,00 €",CDU,2009,Rodewisch,,,
"Parteispende:Verband der Chemischen Industrie e.V.-FDP-2006","Verband der Chemischen Industrie",Kategorie:Parteispende,"97000,00 €",FDP,2006,"Frankfurt am Main",,,
"Parteispende:TRP Bau GmbH-CDU-2009","TRP Bau GmbH",Kategorie:Parteispende,"11000,00 €",CDU,2009,Stahnsdorf,,,
"Parteispende:Versicherungs- und Wirtschaftsdienste GmbH-CSU-2001","Versicherungs- und Wirtschaftsdienste GmbH",Kategorie:Parteispende,"168725,70 €",CSU,2001,München,,,
"Parteispende:Volkswagen AG-FDP-2004","Volkswagen AG",Kategorie:Parteispende,"10400,00 €",FDP,2004,Wolfsburg,,,
"Parteispende:Südbayerische Portland-Zementwerk, Gebr. Wiesböck & Co. GmbH-CSU-2008","Südbayerische Portland-Zementwerk, Gebr. Wiesböck & Co. GmbH",Kategorie:Parteispende,"15000,00 €",CSU,2008,Rohrdorf,,,
"Parteispende:Volkswagen AG-SPD-2003","Volkswagen AG",Kategorie:Parteispende,"10400,00 €",SPD,2003,Wolfsburg,,,
"Parteispende:Verband der Chemischen Industrie e.V.-SPD-2004","Verband der Chemischen Industrie",Kategorie:Parteispende,"49000,00 €",SPD,2004,"Frankfurt am Main",,,
"Parteispende:Trumpf Werkzeugmaschinen GmbH & Co. KG-FDP-2007","Trumpf Werkzeugmaschinen GmbH & Co. KG",Kategorie:Parteispende,"15000,00 €",FDP,2007,Ditzingen,,,
"Parteispende:Volkswagen AG-CDU-2002","Volkswagen AG",Kategorie:Parteispende,"10400,00 €",CDU,2002,Wolfsburg,,,
"Parteispende:Verband der Chemischen Industrie e.V.-CSU-2000","Verband der Chemischen Industrie",Kategorie:Parteispende,"20451,60 €",CSU,2000,"Frankfurt am Main",,,
"Parteispende:Volkswagen AG-GRÜNE-2002","Volkswagen AG",Kategorie:Parteispende,"10313,00 €","Bündnis 90/Die Grünen",2002,Wolfsburg,,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-CDU-2002","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.",Kategorie:Parteispende,"200000,00 €",CDU,2002,Stuttgart,,,
"Parteispende:Südzucker AG-GRÜNE-2009","Südzucker AG",Kategorie:Parteispende,"23000,00 €","Bündnis 90/Die Grünen",2009,Mannheim,,,
"Parteispende:Verband der Cigarettenindustrie e.V.-FDP-2002","Verband der Cigarettenindustrie e.V.",Kategorie:Parteispende,"10900,00 €",FDP,2002,Berlin,,,
"Parteispende:Victor's Bau Wert AG-FDP-2008","Victor's Bau Wert AG",Kategorie:Parteispende,"45000,00 €",FDP,2008,Saarbrücken,,,
"Parteispende:W. Kohlhammer GmbH & Co.-CDU-2001","W. Kohlhammer GmbH & Co.",Kategorie:Parteispende,"17389,59 €",CDU,2001,Stuttgart,,,
"Parteispende:Verband der Chemischen Industrie e.V.-CSU-2004","Verband der Chemischen Industrie",Kategorie:Parteispende,"23850,00 €",CSU,2004,"Frankfurt am Main",,,
"Parteispende:Volkswagen AG-CDU-2006","Volkswagen AG",Kategorie:Parteispende,"10400,00 €",CDU,2006,Wolfsburg,,,
"Parteispende:The Morning Group Consultants-SPD-2002","The Morning Group Consultants",Kategorie:Parteispende,"20546,96 €",SPD,2002,Rostock,,,
"Parteispende:Union-Zucker Südhannover GmbH-CDU-2002","Union-Zucker Südhannover GmbH",Kategorie:Parteispende,"11500,00 €",CDU,2002,Nordstemmen,,,
"Parteispende:Schwarz Pharma AG-CDU-2005","Schwarz Pharma AG",Kategorie:Parteispende,"19000,00 €",CDU,2005,"Monheim am Rhein Baumberg",,,
"Parteispende:Wall AG-CDU-2001","Wall AG",Kategorie:Parteispende,"10737,09 €",CDU,2001,Berlin,,,
"Parteispende:Verband der Chemischen Industrie e.V.-CSU-2005","Verband der Chemischen Industrie",Kategorie:Parteispende,"60400,00 €",CSU,2005,"Frankfurt am Main",,,
"Parteispende:W. Kohlhammer GmbH & Co.-CDU-2002","W. Kohlhammer GmbH & Co.",Kategorie:Parteispende,"11191,68 €",CDU,2002,Stuttgart,,,
"Parteispende:Verband der Chemischen Industrie e.V.-FDP-2005","Verband der Chemischen Industrie",Kategorie:Parteispende,"127500,00 €",FDP,2005,"Frankfurt am Main",,,
"Parteispende:Volkswagen AG-GRÜNE-2008","Volkswagen AG",Kategorie:Parteispende,"13982,58 €","Bündnis 90/Die Grünen",2008,Wolfsburg,,,
"Parteispende:Schörghuber Stiftung & Co. Holding KG-CSU-2007","Schörghuber Stiftung & Co. Holding KG",Kategorie:Parteispende,"14000,00 €",CSU,2007,München,,,
"Parteispende:TRUMPF GmbH + Co. KG -CDU-2017","TRUMPF GmbH + Co. KG",Kategorie:Parteispende,"100000,00 €",CDU,2017,Ditzingen,,,
"Parteispende:Rheinmetall AG-CDU-2008","Rheinmetall AG",Kategorie:Parteispende,"21000,00 €",CDU,2008,Düsseldorf,,,
"Parteispende:Verband der Chemischen Industrie e.V.-FDP-2002","Verband der Chemischen Industrie",Kategorie:Parteispende,"97500,00 €",FDP,2002,"Frankfurt am Main",,,
"Parteispende:Volkswagen AG-CDU-2004","Volkswagen AG",Kategorie:Parteispende,"10400,00 €",CDU,2004,Wolfsburg,,,
"Parteispende:Verband der Bayerischen Chemischen Industrie e.V.-CSU-2003","Verband der Bayerischen Chemischen Industrie e.V.",Kategorie:Parteispende,"82000,00 €",CSU,2003,München,,,
"Parteispende:Südzucker AG-FDP-2002","Südzucker AG",Kategorie:Parteispende,"24000,00 €",FDP,2002,Mannheim,,,
"Parteispende:Verband der Chemischen Industrie e.V.-CDU-2005","Verband der Chemischen Industrie",Kategorie:Parteispende,"262500,00 €",CDU,2005,"Frankfurt am Main",,,
"Parteispende:SMA Solar, Technology AG-GRÜNE-2008","SMA Solar, Technology AG",Kategorie:Parteispende,"17500,00 €","Bündnis 90/Die Grünen",2008,Niestetal,,,
"Parteispende:Südzucker AG-CDU-2004","Südzucker AG",Kategorie:Parteispende,"35000,00 €",CDU,2004,Mannheim,,,
"Parteispende:Verband der Chemischen Industrie e.V.-CDU-2017","Verband der Chemischen Industrie",Kategorie:Parteispende,"150000,00 €",CDU,2017,"Frankfurt am Main",,,
"Parteispende:Philip Morris GmbH-CDU-2006","Philip Morris GmbH",Kategorie:Parteispende,"10225,00 €",CDU,2006,München,,,
"Parteispende:Verband der Chemischen Industrie e.V.-CDU-2009","Verband der Chemischen Industrie",Kategorie:Parteispende,"228000,00 €",CDU,2009,"Frankfurt am Main",,,
"Parteispende:Verband Druck und Medien Bayern e.V.-CSU-2003","Verband Druck und Medien Bayern e.V.",Kategorie:Parteispende,"12500,00 €",CSU,2003,München,,,
"Parteispende:Verband der Chemischen Industrie e.V.-SPD-2000","Verband der Chemischen Industrie",Kategorie:Parteispende,"56241,90 €",SPD,2000,"Frankfurt am Main",,,
"Parteispende:Südzucker AG-SPD-2002","Südzucker AG",Kategorie:Parteispende,"63100,00 €",SPD,2002,Mannheim,,,
"Parteispende:USD Immobillien GmbH-CDU-2009","USD Immobillien GmbH",Kategorie:Parteispende,"16000,00 €",CDU,2009,Dresden,,,
"Parteispende:UBG Unternehmensberatung & Betreuung GmbH-FDP-2009","UBG Unternehmensberatung & Betreuung GmbH",Kategorie:Parteispende,"50000,00 €",FDP,2009,Marburg,,,
"Parteispende:Viessmann Werke GmbH & Co. KG-CDU-2005","Viessmann Werke GmbH & Co. KG",Kategorie:Parteispende,"10500,00 €",CDU,2005,"Allendorf (Eder)",,,
"Parteispende:Vermögensanlagegesellschaft Guthardt & Partner KG-CDU-2000","Vermögensanlagegesellschaft Guthardt & Partner KG",Kategorie:Parteispende,"102258,00 €",CDU,2000,"Wasserburg (Bodensee)",,,
"Parteispende:Verband der Chemischen Industrie e.V.-FDP-2009","Verband der Chemischen Industrie",Kategorie:Parteispende,"118000,00 €",FDP,2009,"Frankfurt am Main",,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-SPD-2000","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.",Kategorie:Parteispende,"51129,00 €",SPD,2000,Stuttgart,,,
"Parteispende:Verband der Chemischen Industrie e.V.-CDU-2003","Verband der Chemischen Industrie",Kategorie:Parteispende,"100000,00 €",CDU,2003,"Frankfurt am Main",,,
"Parteispende:Sydslesvigudvalget/ Undervisningsministeriet Übersetzung: Südschleswig-Ausschuss/ Unterrichtsministerium-SSW-2017","Sydslesvigudvalget/ Undervisningsministeriet Übersetzung: Südschleswig-Ausschuss/ Unterrichtsministerium",Kategorie:Parteispende,"120250,00 €",SSW,2017,Kopenhagen,,,
"Parteispende:Verband der Sächsischen Metall- und Elektroindustrie e.V.-CDU-2004","Verband der Sächsischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"40000,00 €",CDU,2004,Dresden,,,
"Parteispende:Südzucker AG-CSU-2009","Südzucker AG",Kategorie:Parteispende,"59000,00 €",CSU,2009,Mannheim,,,
"Parteispende:Verband der Chemischen Industrie e.V.-CDU-2004","Verband der Chemischen Industrie",Kategorie:Parteispende,"112500,00 €",CDU,2004,"Frankfurt am Main",,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-FDP-2007",Gesamtmetall,Kategorie:Parteispende,"100000,00 €",FDP,2007,Stuttgart,,,
"Parteispende:Verband Druck und Medien Bayern e.V.-CSU-2008","Verband Druck und Medien Bayern e.V.",Kategorie:Parteispende,"19000,00 €",CSU,2008,München,,,
